sim,surplus_pnl_gbp
729,15847442.617897
730,11608555.099803
731,43804718.305755
732,17280042.553615
733,-28496923.368881
734,-13385235.948119
735,-11923548.640862
736,529072.400404
737,5088594.017947
738,38209052.087455
739,-24772267.026800
740,18472685.519265
741,24899459.603850
742,41794404.742860
743,-16198955.294572
744,3532357.319063
745,13748676.651687
746,-37295979.641050
747,33430951.155679
748,-31308178.780312
749,-17113889.198392
750,6546054.163332
751,444709.456939
752,-30744176.152161
753,27777400.784659
754,-3966072.980403
755,-46717810.314169
756,-61813578.543838
757,46078588.298984
758,48685924.879320
759,25321917.142739
760,-33838421.356800
761,7740597.491960
762,57713960.900534
763,69066276.737730
764,-7103320.037522
765,10912339.781433
766,1538228.922077
767,19943695.404827
768,22032627.192852
769,-5767756.271168
770,54222258.364775
771,-12166523.690246
772,-10261306.711331
773,-37959602.187110
774,-26939062.278392
775,23065610.069727
776,47393319.711573
777,963402.660761
778,11146139.885567
779,-21915879.488477
780,28177681.632930
781,28351325.624281
782,43725382.997616
783,17976822.630428
784,15107856.726174
785,1971312.808174
786,-36717796.238788
787,17153475.946766
788,-26512908.368371
789,19327444.910944
790,-11845111.689014
791,-6511272.783209
792,33345370.963018
793,-25208450.864118
794,2763373.290555
795,-22545124.393247
796,-48910835.387901
797,2619123.599916
798,63636066.079096
799,-12806981.696819
800,-16791449.039523
801,-7691545.182931
802,189970.574098
803,5966789.892063
804,42518143.162797
805,-59606467.542762
806,-3771008.451640
807,26349334.165462
808,30452734.819773
809,21812936.989320
810,10521518.737962
811,-64863176.066701
812,44542306.336529
813,-30864505.754779
814,2510417.665720
815,-18960239.260341
816,7725888.185476
817,722582.824512
818,-4367700.793823
819,62456334.889404
820,30642745.688585
821,-272297.606218
822,-36466934.542142
823,-13067560.822992
824,30570020.753698
825,-80219617.504543
826,36757955.304798
827,-17021951.749872
828,38394898.793935
829,7627101.929717
830,-957403.533108
831,31235887.773790
832,-16284679.354639
833,8859570.990685
834,49486511.718570
835,26028476.695772
836,14499930.560596
837,-15480374.178462
838,-7422208.968969
839,-24451302.847198
840,8813918.334852
841,-11739186.904906
842,6076372.115259
843,4844387.527313
844,14593191.290853
845,-42878093.863227
846,4986409.330047
847,7751950.675693
848,14810921.998306
849,-17901572.404855
850,-19520837.980787
851,-36578277.855809
852,34467434.702008
853,5458345.446747
854,30043403.493234
855,-28820498.678240
856,16751849.763734
857,-34791875.551390
858,-4934017.500780
859,-23768787.651654
860,18159112.971520
861,1278614.113121
862,-44104311.269449
863,-18173653.232674
864,-18590989.548488
865,36173040.181730
866,25595076.395824
867,-42353838.199170
868,13897554.617276
869,-288127.979883
870,-34132111.396800
871,12796172.096558
872,19351059.369010
873,9785290.550284
874,35320390.280665
875,-1219856.721568
876,-248367.540041
877,-5756356.641288
878,55290696.443297
879,-9496109.104933
880,29893426.489746
881,19573803.281679
882,-10495727.397123
883,15249258.384212
884,-11672604.083106
885,14231202.343057
886,-33278593.730835
887,-10761996.878713
888,-14349653.432545
889,-34060481.443096
890,-43408872.702991
891,51904984.311433
892,-6186408.304861
893,-50455439.049804
894,-2993844.983349
895,31981357.778637
896,-1067218.581188
897,25337356.770517
898,2510843.008249
899,-33925993.900040
900,11759437.697171
901,4843678.063699
902,25919751.581278
903,2244886.357888
904,-14227929.953996
905,9240007.429499
906,30123074.320924
907,12243857.505120
908,-14053032.736206
909,8969117.059113
910,-3640602.274244
911,-36365307.974718
912,19416557.641563
913,-5422738.766752
914,-73981293.142544
915,21801382.728577
916,-12449442.859268
917,-39069961.824082
918,29809290.453053
919,-64804057.843580
920,10962151.264693
921,18374446.832452
922,-37705166.221269
923,28654692.610319
924,38531217.604928
925,42213497.079084
926,-316190.963058
927,-16307147.756866
928,-14328848.964059
929,31753463.270756
930,38804266.509591
931,36826348.383241
932,-26793065.512034
933,-18641379.967775
934,-736071.832029
935,14844840.926542
936,5444830.268905
937,12109027.685221
938,-21300641.218885
939,-19197417.671056
940,20501722.432096
941,-14907468.441926
942,-57539442.602678
943,9816751.984160
944,27960204.218095
945,-16854502.748038
946,4924502.516416
947,38563150.079311
948,-8694682.901908
949,-6597686.169688
950,-55076294.899237
951,54008754.413583
952,24669786.302915
953,6034307.981931
954,58180048.304700
955,13080747.212977
956,14508974.745725
957,-8264942.831081
958,5250913.021782
959,-16767615.212443
960,-21953448.849188
961,1244306.181563
962,15002621.130413
963,-13974783.626261
964,-53523624.152427
965,25051643.834060
966,32892351.843658
967,27333180.095170
968,13349603.505152
969,44372444.902549
970,-38709226.678060
